Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
THRAP3,43,17,16,Q9Y2W1,20,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,THRAP3
TJP1,11,9,9,Q07157,7,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1
TJP2,4,4,4,Q9UDY2,4,Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2,TJP2
TOR1AIP1,87,10,10,Q5JTV8,21,Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=2,TOR1AIP1
TP53BP1,9,6,6,Q12888,4,TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2,TP53BP1
TALDO1,11,4,4,P37837,11,Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,TALDO1
SMARCA4,17,7,7,P51532,5,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,SMARCA4
SUPT5H,4,2,2,O00267,2,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,SUPT5H
SUPT6H,3,3,3,Q7KZ85,2,Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2,SUPT6H
BTF3,28,7,6,P20290,48,Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1,BTF3
TRIM28,98,19,19,Q13263,37,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,TRIM28
PURA,2,2,2,Q00577,10,Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,PURA
PURB,5,2,2,Q96QR8,14,Transcriptional activator protein Pur-beta OS=Homo sapiens OX=9606 GN=PURB PE=1 SV=3,PURB
TEAD1,16,3,3,P28347,6,Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2,TEAD1
TBL2,73,14,14,Q9Y4P3,33,Transducin beta-like protein 2 OS=Homo sapiens OX=9606 GN=TBL2 PE=1 SV=1,TBL2
TBL3,6,3,3,Q12788,4,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,TBL3
TFRC,3,3,3,P02786,4,Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,TFRC
TRA2A,8,4,4,Q13595,18,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,TRA2A
TRA2B,17,7,6,P62995,29,Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1,TRA2B
TGFB1I1,8,5,5,O43294,12,Transforming growth factor beta-1-induced transcript 1 protein OS=Homo sapiens OX=9606 GN=TGFB1I1 PE=1 SV=2,TGFB1I1
TGFBI,16,9,9,Q15582,22,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1,TGFBI
TAGLN,98,13,13,Q01995,66,Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4,TAGLN
TAGLN2,57,11,11,P37802,63,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,TAGLN2
VCP,50,20,20,P55072,33,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,VCP
TKT,82,15,15,P29401,31,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3,TKT
TMA16,10,4,4,Q96EY4,25,Translation machinery-associated protein 16 OS=Homo sapiens OX=9606 GN=TMA16 PE=1 SV=2,TMA16
TSN,2,2,2,Q15631,8,Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1,TSN
TRAM1,4,2,2,Q15629,4,Translocating chain-associated membrane protein 1 OS=Homo sapiens OX=9606 GN=TRAM1 PE=1 SV=3,TRAM1
TRAM2,2,2,2,Q15035,5,Translocating chain-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=TRAM2 PE=1 SV=1,TRAM2
SEC63,8,4,4,Q9UGP8,8,Translocation protein SEC63 homolog OS=Homo sapiens OX=9606 GN=SEC63 PE=1 SV=2,SEC63
SSR1,46,3,3,P43307,12,Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3,SSR1
SSR4,6,3,3,P51571,24,Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,SSR4
TMEM214,17,7,7,Q6NUQ4,12,Transmembrane protein 214 OS=Homo sapiens OX=9606 GN=TMEM214 PE=1 SV=2,TMEM214
TNPO1,14,7,7,Q92973,9,Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,TNPO1
TNPO3,7,4,4,Q9Y5L0,7,Transportin-3 OS=Homo sapiens OX=9606 GN=TNPO3 PE=1 SV=3,TNPO3
TCOF1,17,9,9,Q13428,7,Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3,TCOF1
TRIOBP,8,5,5,Q9H2D6,2,TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3,TRIOBP
TPI1,29,8,8,P60174,45,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4,TPI1
TPM1,118,25,7,P09493,61,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2,TPM1
TPM3,100,21,4,P06753,54,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,TPM3
TPM4,108,24,9,P67936,69,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,TPM4
TPM2,110,22,5,P07951,55,Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1,TPM2
TNNT3,2,2,2,P45378,6,"Troponin T, fast skeletal muscle OS=Homo sapiens OX=9606 GN=TNNT3 PE=1 SV=3",TNNT3
TUBA1A,329,20,2,Q71U36,63,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,TUBA1A
TUBA1C,321,19,2,Q9BQE3,59,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,TUBA1C
TUBA4A,243,16,2,P68366,49,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,TUBA4A
TUBB,340,22,4,P07437,73,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TUBB
TUBB2A,280,19,3,Q13885,62,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,TUBB2A
TUBB3,205,16,4,Q13509,51,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,TUBB3
TUBB6,155,17,7,Q9BUF5,53,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TUBB6
BAZ1B,100,21,20,Q9UIG0,15,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,BAZ1B
LCK,5,2,2,P06239,4,Tyrosine-protein kinase Lck OS=Homo sapiens OX=9606 GN=LCK PE=1 SV=6,LCK
SNRNP70,54,11,11,P08621,20,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,SNRNP70
SNRPA,22,4,2,P09012,12,U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3,SNRPA
SNRPA1,27,8,8,P09661,38,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,SNRPA1
SNRPB2,14,5,3,P08579,19,U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1,SNRPB2
U2SURP,2,2,2,O15042,3,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,U2SURP
UTP18,7,2,2,Q9Y5J1,5,U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3,UTP18
RRP9,3,3,3,O43818,7,U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens OX=9606 GN=RRP9 PE=1 SV=1,RRP9
PRPF31,4,2,2,Q8WWY3,6,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,PRPF31
PRPF4,5,4,4,O43172,10,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,PRPF4
SART1,8,5,4,O43290,7,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,SART1
SNRNP200,100,40,40,O75643,26,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,SNRNP200
SNRNP40,6,5,4,Q96DI7,24,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,SNRNP40
LSM4,36,3,3,Q9Y4Z0,17,U6 snRNA-associated Sm-like protein LSm4 OS=Homo sapiens OX=9606 GN=LSM4 PE=1 SV=1,LSM4
USP7,4,2,2,Q93009,2,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2,USP7
UCHL1,9,3,3,P09936,22,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2,UCHL1
RPS27A,758,13,13,P62979,58,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,RPS27A
UBAP2L,16,3,3,Q14157,3,Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2,UBAP2L
UBA1,15,7,7,P22314,10,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,UBA1
UGDH,7,4,4,O60701,13,UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1,UGDH
UGGT1,4,3,3,Q9NYU2,2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3,UGGT1
C11orf98,10,3,3,E9PRG8,28,Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2,C11orf98
C7orf50,17,3,3,Q9BRJ6,24,Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1,C7orf50
MYO1B,10,4,4,O43795,5,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,MYO1B
MYO1C,39,17,17,O00159,20,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C
UTRN,13,9,9,P46939,4,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,UTRN
UACA,5,4,4,Q9BZF9,3,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens OX=9606 GN=UACA PE=1 SV=2,UACA
VPS35,4,2,2,Q96QK1,4,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2,VPS35
VARS1,7,4,4,P26640,4,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,VARS1
VASP,7,6,6,P50552,20,Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3,VASP
SEC22B,32,7,7,O75396,32,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,SEC22B
HDLBP,214,38,38,Q00341,38,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,HDLBP
VIM,1741,51,47,P08670,87,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,VIM
VCL,171,49,49,P18206,48,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,VCL
WDR1,30,12,12,O75083,34,WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4,WDR1
WDR18,5,3,3,Q9BV38,6,WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2,WDR18
WDR43,3,2,2,Q15061,3,WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3,WDR43
WDR5,4,2,2,P61964,8,WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,WDR5
WDR82,6,3,2,Q6UXN9,6,WD repeat-containing protein 82 OS=Homo sapiens OX=9606 GN=WDR82 PE=1 SV=1,WDR82
SMU1,3,2,2,Q2TAY7,5,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,SMU1
XRCC5,92,24,24,P13010,41,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,XRCC5
XRCC6,190,29,29,P12956,50,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,XRCC6
YBX1,74,10,8,P67809,45,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,YBX1
YLPM1,2,2,2,P49750,1,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,YLPM1
ZC3H18,4,3,3,Q86VM9,3,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2,ZC3H18
ZC3HAV1,6,3,3,Q7Z2W4,5,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=3,ZC3HAV1
ZMYM3,5,2,2,Q14202,1,Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=2,ZMYM3
ZMYND11,13,6,6,Q15326,15,Zinc finger MYND domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZMYND11 PE=1 SV=2,ZMYND11
ZNF512,44,11,11,Q96ME7,26,Zinc finger protein 512 OS=Homo sapiens OX=9606 GN=ZNF512 PE=1 SV=2,ZNF512
ZNF512B,2,2,2,Q96KM6,3,Zinc finger protein 512B OS=Homo sapiens OX=9606 GN=ZNF512B PE=1 SV=1,ZNF512B
ZNF800,9,4,4,Q2TB10,9,Zinc finger protein 800 OS=Homo sapiens OX=9606 GN=ZNF800 PE=1 SV=1,ZNF800
ZRANB2,6,4,4,O95218,10,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2,ZRANB2
ZFR,3,2,2,Q96KR1,4,Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2,ZFR
AZGP1,36,4,4,P25311,18,Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,AZGP1
ZYX,35,10,10,Q15942,31,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,ZYX
