Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
ABCF2,623,463,19,19,19,Q9UG63,34,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2,ABCF2,71.2,8856,7.37
MSH3,1137,413,36,36,35,P20585,43,DNA mismatch repair protein Msh3 OS=Homo sapiens GN=MSH3 PE=1 SV=4,MSH3,127.3,8831,8.02
SFSWAP,951,386,17,17,17,Q12872,26,"Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens GN=SFSWAP PE=1 SV=3",SFSWAP,104.8,8821,8.05
PLAUR,335,256,8,8,8,Q03405,39,Urokinase plasminogen activator surface receptor OS=Homo sapiens GN=PLAUR PE=1 SV=1,PLAUR,37.0,8801,6.65
NHP2L1,128,387,5,5,5,P55769,46,NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3,NHP2L1,14.2,8791,8.46
KRT4,534,297,9,9,4,CONT_P19013,14,"Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4",KRT4,57.3,8742,6.61
GNA13,377,234,9,9,8,Q14344,27,Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens GN=GNA13 PE=1 SV=2,GNA13,44.0,8721,8.0
PAXBP1,917,326,21,21,21,Q9Y5B6,30,PAX3- and PAX7-binding protein 1 OS=Homo sapiens GN=PAXBP1 PE=1 SV=2,PAXBP1,104.7,8710,5.68
ADARB1,741,216,11,11,11,P78563,21,Double-stranded RNA-specific editase 1 OS=Homo sapiens GN=ADARB1 PE=1 SV=1,ADARB1,80.7,8659,9.01
NCOR2,2525,479,32,32,27,Q9Y618,17,Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2,NCOR2,274.6,8643,7.59
MYL6B,208,269,10,10,8,P14649,47,Myosin light chain 6B OS=Homo sapiens GN=MYL6B PE=1 SV=1,MYL6B,22.8,8621,5.73
SF3A1,793,466,22,22,22,Q15459,35,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,SF3A1,88.8,8602,5.22
ELMSAN1,1045,400,25,25,25,Q6PJG2,34,ELM2 and SANT domain-containing protein 1 OS=Homo sapiens GN=ELMSAN1 PE=1 SV=2,ELMSAN1,114.9,8592,9.19
RRP15,282,274,9,9,9,Q9Y3B9,41,RRP15-like protein OS=Homo sapiens GN=RRP15 PE=1 SV=2,RRP15,31.5,8576,5.52
CALU (1),315,345,14,14,3,O43852,62,Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2,CALU,37.1,8571,4.64
UBTF,764,411,19,19,19,P17480,31,Nucleolar transcription factor 1 OS=Homo sapiens GN=UBTF PE=1 SV=1,UBTF,89.4,8522,5.81
RPL31,125,348,5,5,5,P62899,39,60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1,RPL31,14.5,8513,10.54
PRPF4B,1007,329,18,18,18,Q13523,21,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens GN=PRPF4B PE=1 SV=3,PRPF4B,116.9,8511,10.26
CLINT1,625,377,15,15,15,Q14677,29,Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1,CLINT1,68.2,8500,6.42
GNL2,731,400,21,21,21,Q13823,34,Nucleolar GTP-binding protein 2 OS=Homo sapiens GN=GNL2 PE=1 SV=1,GNL2,83.6,8496,9.25
NUP98,1817,370,19,19,19,P52948,13,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4,NUP98,197.5,8488,6.4
KIAA1211,1233,412,31,31,31,Q6ZU35,35,Uncharacterized protein KIAA1211 OS=Homo sapiens GN=KIAA1211 PE=1 SV=3,KIAA1211,136.7,8458,5.6
HLA-C,366,213,12,12,9,P30508,48,"HLA class I histocompatibility antigen, Cw-12 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2",HLA-C,40.9,8409,6.3
RHOB,196,370,9,9,7,P62745,67,Rho-related GTP-binding protein RhoB OS=Homo sapiens GN=RHOB PE=1 SV=1,RHOB,22.1,8376,5.24
TFCP2,502,280,13,13,12,Q12800,34,Alpha-globin transcription factor CP2 OS=Homo sapiens GN=TFCP2 PE=1 SV=2,TFCP2,57.2,8331,5.8
NKRF,690,456,20,20,20,O15226,30,NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2,NKRF,77.6,8325,8.79
PHC2,858,327,16,16,14,Q8IXK0,22,Polyhomeotic-like protein 2 OS=Homo sapiens GN=PHC2 PE=1 SV=1,PHC2,90.7,8311,8.69
CDK9,372,240,9,9,7,P50750,24,Cyclin-dependent kinase 9 OS=Homo sapiens GN=CDK9 PE=1 SV=3,CDK9,42.8,8287,8.79
RPL26,145,451,8,8,8,P61254,39,60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1,RPL26,17.2,8285,10.55
RBM14 (2),339,238,7,7,2,Q96PK6-5,38,Isoform 5 of RNA-binding protein 14 OS=Homo sapiens GN=RBM14,RBM14,37.0,8266,8.48
CUL4A,759,370,21,21,13,Q13619,30,Cullin-4A OS=Homo sapiens GN=CUL4A PE=1 SV=3,CUL4A,87.6,8255,8.13
EEF1G,437,327,16,16,16,P26641,37,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,EEF1G,50.1,8147,6.67
GNA11,359,396,14,14,7,P29992,50,Guanine nucleotide-binding protein subunit alpha-11 OS=Homo sapiens GN=GNA11 PE=1 SV=2,GNA11,42.1,8131,5.69
PRRC2B,2229,326,29,29,27,Q5JSZ5,18,Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2,PRRC2B,242.8,8057,8.34
TTF1,905,287,18,18,18,Q15361,30,Transcription termination factor 1 OS=Homo sapiens GN=TTF1 PE=1 SV=3,TTF1,103.0,8039,9.38
NTHL1,312,288,12,12,12,P78549,57,Endonuclease III-like protein 1 OS=Homo sapiens GN=NTHL1 PE=1 SV=2,NTHL1,34.4,7958,9.67
PUM2,1064,357,16,16,10,Q8TB72-3,18,Isoform 3 of Pumilio homolog 2 OS=Homo sapiens GN=PUM2,PUM2,113.9,7931,7.08
YBX3,372,225,8,8,5,P16989,41,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,YBX3,40.1,7920,9.77
PPP1R18,613,344,17,17,17,Q6NYC8,38,Phostensin OS=Homo sapiens GN=PPP1R18 PE=1 SV=1,PPP1R18,67.9,7908,5.4
GCDH,438,361,13,13,13,Q92947,47,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=GCDH PE=1 SV=1",GCDH,48.1,7892,8.06
SNRNP40,357,501,13,13,12,Q96DI7,55,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens GN=SNRNP40 PE=1 SV=1,SNRNP40,39.3,7883,8.1
BHLHE40,412,280,12,12,12,O14503,36,Class E basic helix-loop-helix protein 40 OS=Homo sapiens GN=BHLHE40 PE=1 SV=1,BHLHE40,45.5,7882,8.1
PWP1,501,332,13,13,13,Q13610,40,Periodic tryptophan protein 1 homolog OS=Homo sapiens GN=PWP1 PE=1 SV=1,PWP1,55.8,7867,4.77
KRT80,452,214,7,7,6,Q6KB66-1,16,"SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1 of Keratin, type II cytoskeletal 80",KRT80,50.5,7850,5.67
SRSF5,272,336,10,10,9,Q13243,28,Serine/arginine-rich splicing factor 5 OS=Homo sapiens GN=SRSF5 PE=1 SV=1,SRSF5,31.2,7849,11.59
EMD,254,348,10,10,10,P50402,57,Emerin OS=Homo sapiens GN=EMD PE=1 SV=1,EMD,29.0,7846,5.5
RPL13A,203,529,9,9,9,P40429,34,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,RPL13A,23.6,7798,10.93
SRPK1,655,408,14,14,11,Q96SB4,28,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,SRPK1,74.3,7784,6.16
CD59,128,337,4,4,4,P13987,25,CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1,CD59,14.2,7778,6.48
HDAC2,488,331,10,10,6,Q92769,30,Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2,HDAC2,55.3,7757,5.91
AP2A2,939,248,11,11,2,O94973,16,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2,AP2A2,103.9,7732,6.96
EWSR1,656,221,6,6,6,Q01844,11,RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1,EWSR1,68.4,7697,9.33
SSR4,173,260,5,5,5,P51571,36,Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1,SSR4,19.0,7696,6.15
SART1,800,241,16,16,15,O43290,27,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,SART1,90.2,7690,6.13
KRT35,455,325,10,10,3,CONT_Q92764,25,"Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5",KRT35,50.3,7677,4.91
RAC1,192,413,8,8,7,P63000,38,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1,RAC1,21.4,7644,8.5
DDX46,1031,356,25,25,25,Q7L014,28,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2,DDX46,117.3,7624,9.29
YWHAE,255,222,7,7,5,P62258,33,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,YWHAE,29.2,7588,4.74
JADE2,790,206,14,14,13,Q9NQC1,28,Protein Jade-2 OS=Homo sapiens GN=JADE2 PE=1 SV=2,JADE2,87.4,7563,5.26
RPL34,117,287,7,7,7,P49207,38,60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3,RPL34,13.3,7544,11.47
SNRPD1,119,258,5,5,5,P62314,55,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1,SNRPD1,13.3,7526,11.56
ARPC2,300,469,17,17,17,O15144,68,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,ARPC2,34.3,7525,7.36
RPS24,133,233,3,3,3,P62847,29,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,RPS24,15.4,7506,10.78
UTP14A,771,245,15,15,15,Q9BVJ6,25,U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens GN=UTP14A PE=1 SV=1,UTP14A,87.9,7439,7.87
ATRX,2492,246,32,32,32,P46100,17,Transcriptional regulator ATRX OS=Homo sapiens GN=ATRX PE=1 SV=5,ATRX,282.4,7420,6.58
PGAM5,289,413,14,14,14,Q96HS1,41,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2",PGAM5,32.0,7418,8.68
RAB35,201,264,8,8,6,Q15286,48,Ras-related protein Rab-35 OS=Homo sapiens GN=RAB35 PE=1 SV=1,RAB35,23.0,7399,8.29
DYNLL1,89,284,4,4,2,P63167,57,"Dynein light chain 1, cytoplasmic OS=Homo sapiens GN=DYNLL1 PE=1 SV=1",DYNLL1,10.4,7392,7.4
CALU (2),323,327,13,13,2,O43852-4,55,Isoform 4 of Calumenin OS=Homo sapiens GN=CALU,CALU,38.1,7390,4.58
RUVBL2,463,345,16,16,16,Q9Y230,40,RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3,RUVBL2,51.1,7379,5.64
DPM1,260,307,10,10,10,O60762,50,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1,DPM1,29.6,7360,9.57
HDAC1,482,338,12,12,8,Q13547,34,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,HDAC1,55.1,7336,5.48
CLK3,490,218,10,10,10,P49761-1,24,Isoform 1 of Dual specificity protein kinase CLK3 OS=Homo sapiens GN=CLK3,CLK3,58.6,7300,9.52
MAFK,156,241,8,8,5,O60675,51,Transcription factor MafK OS=Homo sapiens GN=MAFK PE=1 SV=1,MAFK,17.5,7272,10.1
NDUFA9,377,268,12,12,12,Q16795,39,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2",NDUFA9,42.5,7263,9.8
ANKRD32,1058,392,22,22,22,Q9BQI6,28,Ankyrin repeat domain-containing protein 32 OS=Homo sapiens GN=ANKRD32 PE=1 SV=2,ANKRD32,121.0,7245,8.44
RALB,206,259,7,7,3,P11234,46,Ras-related protein Ral-B OS=Homo sapiens GN=RALB PE=1 SV=1,RALB,23.4,7232,6.62
RRS1,365,258,8,8,8,Q15050,25,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens GN=RRS1 PE=1 SV=2,RRS1,41.2,7205,10.7
LRPPRC,1394,303,28,28,28,P42704,25,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3",LRPPRC,157.8,7198,6.13
LUC7L,371,315,11,11,5,Q9NQ29,28,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens GN=LUC7L PE=1 SV=1,LUC7L,43.7,7194,9.92
H1F0,194,282,5,5,5,P07305,21,Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3,H1F0,20.9,7187,10.84
YLPM1,2146,368,32,32,32,P49750-4,22,Isoform 4 of YLP motif-containing protein 1 OS=Homo sapiens GN=YLPM1,YLPM1,241.5,7183,6.55
STRBP,672,309,17,17,10,Q96SI9,23,Spermatid perinuclear RNA-binding protein OS=Homo sapiens GN=STRBP PE=1 SV=1,STRBP,73.6,7183,8.72
CPSF1,1443,253,16,16,16,Q10570,14,Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens GN=CPSF1 PE=1 SV=2,CPSF1,160.8,7168,6.4
ATP1A1,1023,260,18,18,18,P05023,24,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,ATP1A1,112.8,7121,5.49
GAR1,217,308,8,8,8,Q9NY12,36,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens GN=GAR1 PE=1 SV=1,GAR1,22.3,7118,10.92
JUND,347,233,9,9,8,P17535,44,Transcription factor jun-D OS=Homo sapiens GN=JUND PE=1 SV=3,JUND,35.2,7054,7.37
PRPF38A,312,297,11,11,11,Q8NAV1,40,Pre-mRNA-splicing factor 38A OS=Homo sapiens GN=PRPF38A PE=1 SV=1,PRPF38A,37.5,7033,9.96
ALDH3A2,485,254,11,11,11,P51648,26,Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1,ALDH3A2,54.8,7010,7.88
RPL21,160,356,5,5,5,P46778,34,60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2,RPL21,18.6,6983,10.49
RP2,350,425,10,10,10,O75695,27,Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4,RP2,39.6,6948,5.12
NOC4L,516,276,12,12,12,Q9BVI4,39,Nucleolar complex protein 4 homolog OS=Homo sapiens GN=NOC4L PE=1 SV=1,NOC4L,58.4,6878,7.49
AATF,560,209,9,9,9,Q9NY61,26,Protein AATF OS=Homo sapiens GN=AATF PE=1 SV=1,AATF,63.1,6845,4.94
KLF5,457,337,9,9,9,Q13887,38,Krueppel-like factor 5 OS=Homo sapiens GN=KLF5 PE=1 SV=2,KLF5,50.8,6834,8.6
KRT78,521,223,10,10,8,Q7RTT2,17,TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78,KRT78,56.9,6828,6.02
KDM2A,1162,285,19,19,18,Q9Y2K7,23,Lysine-specific demethylase 2A OS=Homo sapiens GN=KDM2A PE=1 SV=3,KDM2A,132.7,6752,7.58
RPS23,143,191,3,3,3,P62266,34,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3,RPS23,15.8,6742,10.49
RPA3,121,244,5,5,5,P35244,64,Replication protein A 14 kDa subunit OS=Homo sapiens GN=RPA3 PE=1 SV=1,RPA3,13.6,6700,5.08
BOP1,746,327,18,18,18,Q14137,37,Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2,BOP1,83.6,6656,6.19
ARPC3,178,250,6,6,6,O15145,29,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3,ARPC3,20.5,6617,8.59
SDHA,664,194,11,11,11,P31040,30,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2",SDHA,72.6,6613,7.39
PTBP1,531,198,12,12,8,P26599,43,Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,PTBP1,57.2,6606,9.17
CREM,299,246,5,5,2,Q03060-31,33,Isoform 28 of cAMP-responsive element modulator OS=Homo sapiens GN=CREM,CREM,32.4,6592,7.81
KRT32,448,264,10,10,5,CONT_Q14532,22,"Keratin, type I cuticular Ha2 OS=Homo sapiens GN=KRT32 PE=1 SV=3",KRT32,50.3,6575,4.84
RBMX2,322,238,11,11,11,Q9Y388,36,"RNA-binding motif protein, X-linked 2 OS=Homo sapiens GN=RBMX2 PE=1 SV=2",RBMX2,37.3,6557,9.83
ZC3H4,1303,190,10,10,10,Q9UPT8,13,Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3,ZC3H4,140.2,6543,6.27
PSIP1,530,246,12,12,12,O75475,28,PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1,PSIP1,60.1,6503,9.13
RSRC2,434,180,8,8,8,Q7L4I2,22,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens GN=RSRC2 PE=1 SV=1,RSRC2,50.5,6502,11.33
TIGD2,525,256,11,11,11,Q4W5G0,29,Tigger transposable element-derived protein 2 OS=Homo sapiens GN=TIGD2 PE=2 SV=1,TIGD2,59.6,6499,9.0
DCAF7,342,224,8,8,8,P61962,32,DDB1- and CUL4-associated factor 7 OS=Homo sapiens GN=DCAF7 PE=1 SV=1,DCAF7,38.9,6496,5.52
ATF7,483,176,10,10,9,P17544-6,35,Isoform 6 of Cyclic AMP-dependent transcription factor ATF-7 OS=Homo sapiens GN=ATF7,ATF7,51.7,6473,8.0
FIP1L1,594,262,11,11,11,Q6UN15,28,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1,FIP1L1,66.5,6470,5.59
FOLR1,257,294,7,7,7,P15328,38,Folate receptor alpha OS=Homo sapiens GN=FOLR1 PE=1 SV=3,FOLR1,29.8,6468,7.97
DIAPH1,1272,344,25,25,25,O60610,24,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,DIAPH1,141.3,6464,5.41
PLS1,629,275,15,15,13,Q14651,34,Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2,PLS1,70.2,6452,5.41
RPL37A,92,219,4,4,4,P61513,50,60S ribosomal protein L37a OS=Homo sapiens GN=RPL37A PE=1 SV=2,RPL37A,10.3,6449,10.43
CSNK2B,215,190,6,6,6,P67870,37,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=1,CSNK2B,24.9,6442,5.55
XRN2,950,286,22,22,22,Q9H0D6,30,5'-3' exoribonuclease 2 OS=Homo sapiens GN=XRN2 PE=1 SV=1,XRN2,108.5,6439,7.47
NIFK,293,245,11,11,11,Q9BYG3,50,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens GN=NIFK PE=1 SV=1,NIFK,34.2,6404,9.88
KIF14,1648,317,25,25,25,Q15058,19,Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1,KIF14,186.4,6390,7.91
YWHAG,247,187,10,10,7,P61981,48,14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,YWHAG,28.3,6373,4.89
PRSS21,314,209,10,10,10,Q9Y6M0,40,Testisin OS=Homo sapiens GN=PRSS21 PE=1 SV=1,PRSS21,34.9,6367,7.62
SURF6,361,209,10,10,10,O75683,35,Surfeit locus protein 6 OS=Homo sapiens GN=SURF6 PE=1 SV=3,SURF6,41.4,6356,10.64
RAP2B,183,172,5,5,3,P61225,42,Ras-related protein Rap-2b OS=Homo sapiens GN=RAP2B PE=1 SV=1,RAP2B,20.5,6339,4.81
CLTA,218,241,7,7,6,P09496-2,32,Isoform Non-brain of Clathrin light chain A OS=Homo sapiens GN=CLTA,CLTA,23.6,6337,4.53
SNRPB2,225,272,5,5,3,P08579,23,U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens GN=SNRPB2 PE=1 SV=1,SNRPB2,25.5,6331,9.72
KDM1A,852,289,19,19,19,O60341,32,Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2,KDM1A,92.8,6311,6.52
RAP1A,184,194,7,7,7,P62834,49,Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1,RAP1A,21.0,6303,6.67
CSN1S1,214,180,6,6,6,CONT_P02662,36,Alpha-S1-casein OS=Bos taurus GN=CSN1S1 PE=1 SV=2,CSN1S1,24.5,6290,5.02
RAB8A,207,256,9,9,6,P61006,40,Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1,RAB8A,23.7,6267,9.07
EPHA2,976,184,11,11,11,P29317,13,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2,EPHA2,108.2,6252,6.23
CREB1,341,223,5,5,3,P16220,26,Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens GN=CREB1 PE=1 SV=2,CREB1,36.7,6220,5.57
UTP20,2785,284,33,33,33,O75691,15,Small subunit processome component 20 homolog OS=Homo sapiens GN=UTP20 PE=1 SV=3,UTP20,318.2,6131,7.39
SLTM,1034,381,21,21,21,Q9NWH9,26,SAFB-like transcription modulator OS=Homo sapiens GN=SLTM PE=1 SV=2,SLTM,117.1,6129,7.87
RAN,216,257,8,8,8,P62826,36,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,RAN,24.4,6110,7.49
TIMM50,353,187,7,7,7,Q3ZCQ8,25,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2,TIMM50,39.6,6109,8.37
ASH2L,628,402,18,18,18,Q9UBL3,33,Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1,ASH2L,68.7,6085,5.69
KRT33A,404,167,19,19,2,CONT_O76009,53,"Keratin, type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2",KRT33A,45.9,6012,4.82
YY1,414,142,5,5,5,P25490,19,Transcriptional repressor protein YY1 OS=Homo sapiens GN=YY1 PE=1 SV=2,YY1,44.7,5975,6.25
NFIL3,462,192,12,12,12,Q16649,41,Nuclear factor interleukin-3-regulated protein OS=Homo sapiens GN=NFIL3 PE=1 SV=2,NFIL3,51.4,5973,7.18
LRRC59,307,238,8,8,8,Q96AG4,36,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,LRRC59,34.9,5919,9.57
RPS12,132,333,6,6,6,P25398,53,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3,RPS12,14.5,5908,7.21
TFIP11,837,311,22,22,22,Q9UBB9,31,Tuftelin-interacting protein 11 OS=Homo sapiens GN=TFIP11 PE=1 SV=1,TFIP11,96.8,5904,5.67
CHD9,2897,263,12,12,2,Q3L8U1,4,Chromodomain-helicase-DNA-binding protein 9 OS=Homo sapiens GN=CHD9 PE=1 SV=2,CHD9,325.8,5894,7.01
SH3BP4,963,185,10,10,10,Q9P0V3,14,SH3 domain-binding protein 4 OS=Homo sapiens GN=SH3BP4 PE=1 SV=1,SH3BP4,107.4,5888,7.71
ATAD2,1390,247,18,18,18,Q6PL18,19,ATPase family AAA domain-containing protein 2 OS=Homo sapiens GN=ATAD2 PE=1 SV=1,ATAD2,158.5,5881,6.32
CEBPB,345,240,10,10,9,P17676,52,CCAAT/enhancer-binding protein beta OS=Homo sapiens GN=CEBPB PE=1 SV=2,CEBPB,36.1,5874,8.31
SLC1A5,541,217,8,8,8,Q15758,20,Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2,SLC1A5,56.6,5866,5.48
SLU7,586,215,16,16,16,O95391,37,Pre-mRNA-splicing factor SLU7 OS=Homo sapiens GN=SLU7 PE=1 SV=2,SLU7,68.3,5840,7.14
DNTTIP1,329,151,10,10,10,Q9H147,43,Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Homo sapiens GN=DNTTIP1 PE=1 SV=2,DNTTIP1,37.0,5808,8.97
NOL9,702,275,10,10,10,Q5SY16,21,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens GN=NOL9 PE=1 SV=1,NOL9,79.3,5805,9.13
ARPC4,168,224,8,8,8,P59998,50,Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3,ARPC4,19.7,5738,8.43
PCID2,399,300,15,15,15,Q5JVF3,43,PCI domain-containing protein 2 OS=Homo sapiens GN=PCID2 PE=1 SV=2,PCID2,46.0,5734,8.53
UQCRC2,453,281,10,10,10,P22695,33,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3",UQCRC2,48.4,5715,8.63
C10orf12,1247,203,18,18,18,Q8N655,24,Uncharacterized protein C10orf12 OS=Homo sapiens GN=C10orf12 PE=1 SV=1,C10orf12,137.1,5713,8.24
HSP90AA1,732,198,15,15,7,P07900,20,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,HSP90AA1,84.6,5709,5.02
ATF1,271,225,5,5,3,P18846,36,Cyclic AMP-dependent transcription factor ATF-1 OS=Homo sapiens GN=ATF1 PE=1 SV=2,ATF1,29.2,5646,8.37
CHD6,2715,319,17,17,11,Q8TD26,7,Chromodomain-helicase-DNA-binding protein 6 OS=Homo sapiens GN=CHD6 PE=1 SV=4,CHD6,305.2,5624,6.27
XPO1,1071,297,19,19,19,O14980,26,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,XPO1,123.3,5622,6.06
STAU1,577,166,10,10,9,O95793,20,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2,STAU1,63.1,5611,9.44
PTPLAD1,362,200,8,8,8,Q9P035,22,Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3 OS=Homo sapiens GN=PTPLAD1 PE=1 SV=2,PTPLAD1,43.1,5575,8.94
REXO4,422,260,17,17,17,Q9GZR2,50,RNA exonuclease 4 OS=Homo sapiens GN=REXO4 PE=1 SV=2,REXO4,46.6,5544,9.77
SPATS2L,558,180,10,10,10,Q9NUQ6,24,SPATS2-like protein OS=Homo sapiens GN=SPATS2L PE=1 SV=2,SPATS2L,61.7,5521,9.64
CDC42,191,181,7,7,6,P60953,37,Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2,CDC42,21.2,5518,6.55
