Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
SMARCD2,531,149,21,21,18,Q92925,47,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3,SMARCD2,58.9,3840,44388424.0,21585649.3333333,48269408.0,3307654.66666667,12818624.0,46853669.3333333
LRWD1,647,127,19,19,19,Q9UFC0,42,Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2,LRWD1,70.8,3838,10203560.0,7969351.0,2383808.75,8094806.66666667,6763405.66666667,3432176.5
RPL8,257,141,9,9,9,P62917,35,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,RPL8,28.0,3821,445045821.333333,572625232.0,454198244.0,398947897.333333,409896410.666667,362860404.0
SPEN,3664,203,50,50,50,Q96T58,19,Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1,SPEN,402.0,3793,33998142.0,45206564.6666667,25981201.6666667,26343368.6666667,22155422.9166667,26040607.0
SART1,800,104,13,13,12,O43290,23,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,SART1,90.2,3776,19705673.6666667,21182462.3333333,17439095.6666667,11518540.5,10203898.5,13926686.3333333
NTHL1,312,120,13,13,13,P78549,53,Endonuclease III-like protein 1 OS=Homo sapiens OX=9606 GN=NTHL1 PE=1 SV=2,NTHL1,34.4,3740,34469048.0,45881906.6666667,26743802.3333333,65011772.0,64691825.3333333,49953917.3333333
RBM17,401,154,15,15,14,Q96I25,41,Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1,RBM17,44.9,3739,65728253.3333333,71965005.3333333,47164359.3333333,30836205.3333333,35581435.3333333,43638332.0
KHDRBS1,443,180,11,11,11,Q07666,32,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",KHDRBS1,48.2,3729,118796314.666667,142037539.333333,94599444.6666667,85225454.0,86673556.0,70663015.6666667
MMTAG2,263,113,11,11,11,Q9BU76,48,Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1,MMTAG2,29.4,3707,55441106.6666667,51479446.6666667,39341095.3333333,25087863.0,26229793.3333333,29072660.0
KMT2B,2715,164,47,47,45,Q9UMN6,23,Histone-lysine N-methyltransferase 2B OS=Homo sapiens OX=9606 GN=KMT2B PE=1 SV=1,KMT2B,293.3,3695,14034269.1666667,15144873.0,11185131.4166667,7762030.16666667,6825364.58333333,5900923.5
BACH1,736,146,26,26,26,O14867,42,Transcription regulator protein BACH1 OS=Homo sapiens OX=9606 GN=BACH1 PE=1 SV=2,BACH1,81.9,3694,12109868.0,12871696.0,4319989.33333333,24194610.0,24034373.3333333,20637871.3333333
TAF4B,862,126,26,26,25,Q92750,38,Transcription initiation factor TFIID subunit 4B OS=Homo sapiens OX=9606 GN=TAF4B PE=1 SV=2,TAF4B,91.0,3692,,,,,,
BAZ1A,1556,123,24,24,23,Q9NRL2,17,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens OX=9606 GN=BAZ1A PE=1 SV=2,BAZ1A,178.6,3686,13386061.0,25422431.3333333,11305536.7916667,21407454.0,26990660.6666667,23161515.6666667
RPL32,135,135,8,8,8,P62910,45,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,RPL32,15.9,3673,184790448.0,255524146.666667,180936142.666667,157944292.0,163704969.333333,155169164.0
RPL9,192,143,9,9,9,P32969,57,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,RPL9,21.9,3673,231175936.0,282071605.333333,213938682.666667,198390176.0,172315658.666667,190727589.333333
HNRNPH3,346,124,10,10,9,P31942,43,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,HNRNPH3,36.9,3656,90386129.3333333,110680914.666667,78995914.6666667,52731351.3333333,50101637.3333333,59261756.0
LMNA,664,133,20,20,20,P02545,37,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA,74.1,3655,19042166.0,13296069.3333333,44839338.0,34618224.3333333,4450608.0,26608182.0
CHTOP,248,134,7,7,7,Q9Y3Y2,33,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,CHTOP,26.4,3649,70958518.6666667,84708150.6666667,65201200.0,47061814.6666667,54873772.0,51215724.0
RPL36,105,124,7,7,7,Q9Y3U8,37,60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3,RPL36,12.2,3644,193118291.416667,218307744.0,178506280.0,147218706.666667,130295778.666667,146564791.75
CHD9,2897,157,37,37,24,Q3L8U1,15,Chromodomain-helicase-DNA-binding protein 9 OS=Homo sapiens OX=9606 GN=CHD9 PE=1 SV=2,CHD9,325.8,3633,28875115.0833333,38785880.0,17023372.5833333,8277476.75,27559245.3333333,12176063.125
STRBP,672,125,17,17,12,Q96SI9,27,Spermatid perinuclear RNA-binding protein OS=Homo sapiens OX=9606 GN=STRBP PE=1 SV=1,STRBP,73.6,3623,16311172.0,20710309.3333333,13361528.0,7949131.83333333,9335736.83333333,10259356.8333333
KDM1A,852,150,25,25,25,O60341,49,Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2,KDM1A,92.8,3620,47895405.0,54889347.5,30433944.25,17010668.3333333,8872953.5,11256240.5
ATP5F1A,553,94,13,13,13,P25705,23,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A,59.7,3620,26371958.0,23313620.6666667,18334448.0,19313693.3333333,12660598.0,11273665.0
LENG8,800,139,18,18,18,Q96PV6,28,Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3,LENG8,88.1,3607,24982989.3333333,35780589.3333333,21787612.6666667,18156582.6666667,14242127.3333333,23370194.3333333
GNG12,72,120,6,6,6,Q9UBI6,76,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3,GNG12,8.0,3603,186895039.0,218990630.166667,166200797.833333,159345767.833333,161602992.0,160400851.5
RPL27A,148,100,5,5,5,P46776,28,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,RPL27A,16.6,3599,363932160.0,447599072.0,298849066.666667,294206992.0,272688282.666667,274086560.0
FYN,537,172,20,20,13,P06241,42,Tyrosine-protein kinase Fyn OS=Homo sapiens OX=9606 GN=FYN PE=1 SV=3,FYN,60.7,3574,54088185.3333333,71836952.0,49207749.3333333,48810482.6666667,44232478.0,43316116.0
ARHGAP11A,1023,152,24,24,24,Q6P4F7,32,Rho GTPase-activating protein 11A OS=Homo sapiens OX=9606 GN=ARHGAP11A PE=1 SV=2,ARHGAP11A,113.8,3559,14155381.3333333,22893522.6666667,15922580.0,21611227.0,37128506.6666667,12677608.6458333
FOLR1,257,116,7,7,7,P15328,31,Folate receptor alpha OS=Homo sapiens OX=9606 GN=FOLR1 PE=1 SV=3,FOLR1,29.8,3555,167103045.333333,208197274.666667,149062740.0,146858456.0,126800482.666667,124160991.333333
C7orf50,194,133,8,8,8,Q9BRJ6,56,Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1,C7orf50,22.1,3552,80679105.0,103579840.666667,75363748.9166667,67893580.3333333,74199388.0,63255200.9166667
SKP1,163,176,11,11,11,P63208,64,S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2,SKP1,18.6,3551,73396813.3333333,92101208.6666667,32729434.6666667,86146054.6666667,53865866.0,82787700.6666667
JUND,347,128,8,8,7,P17535,38,Transcription factor JunD OS=Homo sapiens OX=9606 GN=JUND PE=1 SV=3,JUND,35.2,3534,103591776.0,106284176.0,63144980.6666667,158557215.666667,138333141.0,165621030.0
HSP90AA1,732,99,11,11,5,P07900,18,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,HSP90AA1,84.6,3532,7873667.33333333,12258560.6666667,6081008.16666667,7053254.08333333,5550127.33333333,6660768.16666667
ACTR8,624,154,22,22,22,Q9H981,41,Actin-related protein 8 OS=Homo sapiens OX=9606 GN=ACTR8 PE=1 SV=2,ACTR8,70.4,3529,72352205.3333333,67822250.6666667,52647955.3333333,14983814.6666667,33274793.0,52504635.3333333
H1-10,213,101,7,7,7,Q92522,29,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,H1-10,22.5,3528,340533626.666667,407139781.333333,295646549.333333,283212970.666667,290788093.333333,324994374.666667
SNRNP70,437,187,19,19,19,P08621,43,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,SNRNP70,51.5,3526,97351414.6666667,93579309.3333333,72230762.6666667,49778551.3333333,48038260.3333333,60173045.3333333
RPS9,194,188,14,14,14,P46781,49,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,RPS9,22.6,3516,117484530.666667,158748581.333333,118009245.333333,85607872.0,101414530.666667,94615053.3333333
RPL15,204,125,8,8,8,P61313,35,60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2,RPL15,24.1,3495,311506350.666667,396858695.0,250387064.0,250681664.0,258357989.333333,181013996.0
RPL34,117,126,7,7,7,P49207,38,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,RPL34,13.3,3482,289235914.666667,368855264.0,310565461.333333,218247240.0,222889226.666667,239591610.666667
RAC1,192,153,9,9,8,P63000,42,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1,RAC1,21.4,3470,232653016.5,311198514.416667,219243045.333333,223253979.0,155026384.0,208610133.333333
SMU1,513,122,13,13,13,Q2TAY7,32,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,SMU1,57.5,3458,44731947.5,47410806.6666667,26303183.0,20128705.3333333,11014087.5833333,19199691.8333333
SNRNP40,357,176,11,11,10,Q96DI7,42,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,SNRNP40,39.3,3441,24233024.6666667,31281104.0833333,17902945.4166667,9812629.0,8954954.66666667,12741619.75
GNA13,377,108,11,11,10,Q14344,32,Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens OX=9606 GN=GNA13 PE=1 SV=2,GNA13,44.0,3441,11509777.3333333,18001680.6666667,18852176.3333333,11761070.5,11138573.3333333,18690195.1666667
ZNF326,582,131,15,15,15,Q5BKZ1,33,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,ZNF326,65.6,3433,33178937.3333333,44875146.6666667,28148004.6666667,50835338.0,35593635.25,15577760.6666667
DSG1,1049,118,16,16,16,Q02413,20,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,DSG1,113.7,3429,66274561.8333333,95363043.5,56306334.8333333,47742434.5833333,94309328.1666667,59541327.3333333
RRAS2,204,94,7,7,5,P62070,43,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,RRAS2,23.4,3412,22124645.3333333,27957449.0,17518564.0,19633777.125,16991338.6666667,17151745.3333333
SAP18,153,185,13,13,13,O00422,81,Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1,SAP18,17.6,3402,361748010.666667,474553120.0,312994736.0,127314122.666667,155633114.666667,197113546.666667
ZFC3H1,1989,134,30,30,30,O60293,20,Zinc finger C3H1 domain-containing protein OS=Homo sapiens OX=9606 GN=ZFC3H1 PE=1 SV=3,ZFC3H1,226.2,3397,11743113.3333333,19521948.3333333,12077217.6666667,6579719.66666667,6985781.5,4265970.04166667
PRPF4B,1007,140,20,20,19,Q13523,21,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3,PRPF4B,116.9,3388,22195584.0,26414197.3333333,19062478.3333333,7923533.33333333,13989778.3333333,12704795.0
TFAP2C,450,109,12,12,7,Q92754,29,Transcription factor AP-2 gamma OS=Homo sapiens OX=9606 GN=TFAP2C PE=1 SV=1,TFAP2C,49.1,3382,19262769.6666667,18976709.3333333,13660667.3333333,18323382.3333333,16371245.6666667,20672528.6666667
RPL26,145,171,10,10,3,P61254,40,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,RPL26,17.2,3375,86795212.3333333,109914927.416667,78750996.3333333,97288009.3333333,34284511.3333333,82080903.8333333
GNL3L,582,162,20,20,18,Q9NVN8,39,Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens OX=9606 GN=GNL3L PE=1 SV=1,GNL3L,65.5,3374,13740429.3333333,29684095.3333333,17569092.5,21279306.6666667,16336986.3333333,20259972.6666667
RPL11,178,138,6,6,6,P62913,28,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,RPL11,20.2,3370,453808137.333333,537987142.666667,402209640.666667,334198849.333333,342417533.333333,369965178.0
FUS,526,114,6,6,4,P35637,15,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,FUS,53.4,3361,146709510.666667,180550957.333333,119872636.0,68022116.6666667,110523812.0,111947710.666667
CETN2,172,132,10,10,10,P41208,58,Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1,CETN2,19.7,3352,359857983.25,476282580.0,243731397.333333,332349524.083333,326831067.833333,341195034.666667
JUN,331,86,7,7,6,P05412,36,Transcription factor Jun OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2,JUN,35.7,3348,51433903.6666667,55300575.3333333,33674881.9166667,55684279.8333333,51489168.3333333,49488464.6666667
SNRPD3,126,90,4,4,4,P62318,48,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,SNRPD3,13.9,3346,128969021.333333,133344430.666667,111794740.0,71410795.3333333,49867896.6666667,69916252.3333333
TAF9B,251,100,11,11,4,Q9HBM6,47,Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1,TAF9B,27.6,3336,,,,,,
DMAP1,467,105,14,14,14,Q9NPF5,39,DNA methyltransferase 1-associated protein 1 OS=Homo sapiens OX=9606 GN=DMAP1 PE=1 SV=1,DMAP1,53.0,3333,19930024.6666667,19504123.6666667,20440918.6666667,5488174.75,14890010.4166667,20376183.3333333
HIP1,1037,124,18,18,18,O00291,22,Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5,HIP1,116.1,3310,20388162.8333333,28709500.6666667,19406174.5,18513786.3333333,15719248.3333333,18162511.0
SNU13,128,129,5,5,5,P55769,46,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,SNU13,14.2,3304,293957082.666667,445964495.333333,231090054.0,224892618.666667,221243092.333333,211632092.333333
EP400,3159,147,36,36,36,Q96L91,17,E1A-binding protein p400 OS=Homo sapiens OX=9606 GN=EP400 PE=1 SV=4,EP400,343.3,3303,100690348.666667,115169183.333333,104008165.0,30292814.6666667,47768442.3333333,90479845.5
SENP3,574,108,10,10,10,Q9H4L4,26,Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2,SENP3,65.0,3303,63789079.3333333,81845708.6666667,61398062.0,47452384.6666667,45951486.0,58854005.6666667
FLYWCH1,716,111,16,16,16,Q4VC44,32,FLYWCH-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=FLYWCH1 PE=1 SV=2,FLYWCH1,80.1,3292,66457544.0,129211336.0,46199680.3333333,514388098.166667,113685289.0,32429826.6666667
BRD9,597,110,17,17,17,Q9H8M2,44,Bromodomain-containing protein 9 OS=Homo sapiens OX=9606 GN=BRD9 PE=1 SV=2,BRD9,67.0,3288,4690010.66666667,6547107.83333333,3563091.91666667,3440639.58333333,3626831.0,2849469.0
SLC25A6,298,151,13,13,3,P12236,40,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,SLC25A6,32.8,3288,12215917.0,13909941.3333333,7479885.33333333,11025295.6666667,3925880.5,3559969.5
SRFBP1,429,143,16,16,16,Q8NEF9,47,Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1,SRFBP1,48.6,3282,54981360.0,69940660.6666667,54948240.6666667,46683582.6666667,42177384.0,50470767.6666667
IGF2BP3,579,114,11,11,9,O00425,26,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,IGF2BP3,63.7,3279,17347104.0,23547724.0,17229785.6666667,9621537.0,13514816.3333333,11152935.0
SLTM,1034,161,25,25,25,Q9NWH9,28,SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2,SLTM,117.1,3278,353070568.333333,198705911.0,322577382.833333,79630170.6666667,140392593.333333,326679457.0
ORC3,711,136,24,24,24,Q9UBD5,37,Origin recognition complex subunit 3 OS=Homo sapiens OX=9606 GN=ORC3 PE=1 SV=1,ORC3,82.2,3269,64108971.3125,94137738.6666667,29775048.0,115856981.8125,19897981.9166667,46089950.0833333
RPL13A,203,202,8,8,8,P40429,31,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,RPL13A,23.6,3260,339751221.333333,444347498.666667,357481312.0,290482384.0,288925248.0,281629088.0
JADE3,823,168,23,23,22,Q92613,33,Protein Jade-3 OS=Homo sapiens OX=9606 GN=JADE3 PE=1 SV=1,JADE3,93.7,3258,46663989.3333333,50814450.0,39959428.6666667,26741490.5,34815853.6666667,33962493.0
XRN2,950,138,23,23,23,Q9H0D6,31,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,XRN2,108.5,3242,347473128.0,445470597.166667,238051843.333333,267160970.833333,242157835.833333,261576175.333333
PARP2,583,166,21,21,21,Q9UGN5,39,Poly [ADP-ribose] polymerase 2 OS=Homo sapiens OX=9606 GN=PARP2 PE=1 SV=2,PARP2,66.2,3217,56482371.3333333,68479623.0,46839472.5,82184870.6666667,81387115.6666667,60687262.3333333
PHF6,365,152,12,12,12,Q8IWS0,40,PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1,PHF6,41.3,3210,35085277.25,42860294.8333333,27375591.5,28289651.1666667,34610715.8333333,29014972.3333333
HSPB1,205,105,10,10,10,P04792,61,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1,22.8,3178,88734057.0,113730828.0,68153303.0,72071123.3333333,76435960.6666667,65265797.3333333
EWSR1,656,95,7,7,7,Q01844,14,RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1,EWSR1,68.4,3171,88069696.0,123419680.0,74781726.6666667,55470784.0,67285941.3333333,58861606.6666667
RSRC2,434,101,7,7,7,Q7L4I2,20,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1,RSRC2,50.5,3162,70673789.3333333,99059442.6666667,47888956.0,32043096.0,38426850.6666667,33167895.3333333
PPIG,754,118,11,11,11,Q13427,16,Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2,PPIG,88.6,3136,59904583.5,75618447.3333333,41835189.6666667,31075342.5,36397415.9166667,30197250.3125
TTF1,905,128,18,18,18,Q15361,30,Transcription termination factor 1 OS=Homo sapiens OX=9606 GN=TTF1 PE=1 SV=3,TTF1,103.0,3134,42000502.0,52270112.0,32070877.0,37915226.0,21181483.6666667,32284934.3333333
C1QBP,282,102,5,5,5,Q07021,30,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1",C1QBP,31.3,3120,118317868.0,104117261.333333,49178134.0,49917364.0,45726158.0,34957032.0
TUFM,452,110,16,16,16,P49411,46,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",TUFM,49.5,3105,31477827.3333333,28813051.3333333,22482912.0,18689404.6666667,17791906.6666667,22523406.6666667
RRS1,365,104,9,9,9,Q15050,30,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,RRS1,41.2,3104,30641838.6666667,27031534.6666667,24577074.0,20495272.0,24336450.0,24348936.0
MSH6,1360,141,31,31,30,P52701,29,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,MSH6,152.7,3083,30214670.6666667,26953829.0,32234383.6666667,15778918.8333333,21548086.5,42164424.1666667
NUSAP1,441,104,14,14,14,Q9BXS6,38,Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1 PE=1 SV=1,NUSAP1,49.4,3076,63296523.3333333,79592497.3333333,58670946.0,71367108.6666667,59913198.0,83360678.3333333
NOP16,178,139,10,10,10,Q9Y3C1,58,Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2,NOP16,21.2,3072,74463492.0,79548608.0,50543179.3333333,48654680.0,40095268.4166667,68030407.3333333
RBM8A,174,105,7,7,7,Q9Y5S9,45,RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8A PE=1 SV=1,RBM8A,19.9,3056,138880270.0,185044475.333333,126736756.5,48188935.0,41392863.8333333,47073098.4166667
RPS25,125,91,4,4,4,P62851,28,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,RPS25,13.7,3047,324692453.333333,429372010.666667,276744474.666667,218344117.333333,205331040.0,207229384.0
NPM3,178,93,5,5,5,O75607,51,Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3,NPM3,19.3,3046,91654700.5416667,128444267.916667,89004455.9166667,80572669.5833333,68647111.75,98590202.4583333
PLAUR,335,90,7,7,7,Q03405,34,Urokinase plasminogen activator surface receptor OS=Homo sapiens OX=9606 GN=PLAUR PE=1 SV=1,PLAUR,37.0,3041,37835715.0,53677948.1666667,42665713.1666667,39201028.25,30166432.6666667,24993485.1666667
FCHO2,810,145,15,15,15,Q0JRZ9,27,F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2,FCHO2,88.9,3027,66840529.3333333,145916427.666667,57710513.3333333,7001768.66666667,86659147.5,14133292.0
SERBP1,408,113,13,13,13,Q8NC51,43,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,SERBP1,44.9,3025,39575723.5,32787538.0,35496523.3333333,20884252.6666667,25993004.1666667,42771480.5
RPL19,196,94,6,6,6,P84098,26,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,RPL19,23.5,3021,267222358.666667,349213429.333333,250581880.0,223180425.333333,271335586.666667,214122817.0
ATF1,271,128,8,8,6,P18846,43,Cyclic AMP-dependent transcription factor ATF-1 OS=Homo sapiens OX=9606 GN=ATF1 PE=1 SV=2,ATF1,29.2,3007,135475221.333333,139410296.666667,96434369.3333333,53758508.0,48872255.5,75626215.3333333
RBM34,430,111,14,14,14,P42696,40,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,RBM34,48.5,3004,212667356.0,222801362.666667,174534789.333333,150897460.0,130936193.333333,153620682.666667
RPL21,160,165,8,8,8,P46778,43,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,RPL21,18.6,3002,212778545.333333,286521576.0,177800716.0,210939707.333333,146770684.666667,120621830.666667
TRA2A,282,113,8,8,6,Q13595,18,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,TRA2A,32.7,2998,70259976.0,73070020.6666667,61488946.1666667,22432855.5,23369476.0833333,33660940.9583333
ARGLU1,273,130,8,8,8,Q9NWB6,19,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,ARGLU1,33.2,2992,325234634.666667,383516128.0,228618000.0,135346933.333333,219909456.0,191474298.666667
AATF,560,122,14,14,14,Q9NY61,36,Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,AATF,63.1,2982,20373330.0,31399368.0,20203615.3333333,21922426.0,16262605.0,16174897.0
RPL22,128,77,4,4,4,P35268,35,60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,RPL22,14.8,2972,276542474.666667,438329280.0,248049381.333333,297158426.666667,208715664.0,232739706.666667
RALA,206,119,10,10,7,P11233,45,Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1,RALA,23.6,2970,80546468.0,100197906.666667,69676180.0,51853644.6666667,70941197.3333333,69137455.3333333
COIL,576,136,14,14,14,P38432,27,Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,COIL,62.6,2970,19967121.3333333,23415118.0,18094170.3333333,16814269.3333333,15222046.0,15712286.3333333
BOP1,746,141,15,15,15,Q14137,28,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,BOP1,83.6,2962,232367906.0,38344386.6666667,43716753.6666667,21739949.6666667,23572831.0,42564214.0
CREB5,508,117,16,16,15,Q02930,45,Cyclic AMP-responsive element-binding protein 5 OS=Homo sapiens OX=9606 GN=CREB5 PE=1 SV=3,CREB5,56.9,2956,54886571.3333333,61885183.0,33885578.6666667,27284261.3333333,31449162.6666667,33898168.0
